method,query_size,query_time_ms
list_scan,1,75
list_scan,2,103
list_scan,3,133
list_scan,4,161
list_scan,5,202
list_scan,6,229
list_scan,7,251
list_scan,8,274
list_scan,9,294
list_scan,10,315
list_scan,11,333
list_scan,12,351
list_scan,13,368
list_scan,14,380
list_scan,15,393
list_scan,16,404
list_scan,17,416
list_scan,18,426
list_scan,19,432
list_scan,20,441
set_query,1,146
set_query,2,159
set_query,3,181
set_query,4,200
set_query,5,222
set_query,6,247
set_query,7,265
set_query,8,284
set_query,9,303
set_query,10,317
set_query,11,331
set_query,12,344
set_query,13,356
set_query,14,367
set_query,15,375
set_query,16,384
set_query,17,391
set_query,18,400
set_query,19,405
set_query,20,413
bitarray_query,1,154
bitarray_query,2,162
bitarray_query,3,171
bitarray_query,4,233
bitarray_query,5,187
bitarray_query,6,193
bitarray_query,7,199
bitarray_query,8,204
bitarray_query,9,208
bitarray_query,10,210
bitarray_query,11,217
bitarray_query,12,227
bitarray_query,13,226
bitarray_query,14,227
bitarray_query,15,227
bitarray_query,16,226
bitarray_query,17,227
bitarray_query,18,229
bitarray_query,19,228
bitarray_query,20,227
